"sj" "cb" "blockNumber" "blockType" "trialNum" "target" "targetImage" "distractor" "distractorImage" "posture" "setSize" "rt" "resp" "cresp" "ac"
1 1 3 "experimental" 76 "h" "h.bmp" "u" "u.bmp" "STANDING" 8 598 "h" "h" 1
1 1 3 "experimental" 77 "s" "s.bmp" "u" "u.bmp" "STANDING" 8 770 "s" "s" 1
1 1 3 "experimental" 78 "s" "s.bmp" "e" "e.bmp" "STANDING" 8 971 "s" "s" 1
1 1 3 "experimental" 79 "s" "s.bmp" "e" "e.bmp" "STANDING" 4 723 "s" "s" 1
1 1 3 "experimental" 80 "h" "h.bmp" "e" "e.bmp" "STANDING" 4 866 "h" "h" 1
1 1 3 "experimental" 81 "s" "s.bmp" "u" "u.bmp" "STANDING" 8 508 "s" "s" 1
1 1 3 "experimental" 82 "h" "h.bmp" "e" "e.bmp" "STANDING" 8 660 "h" "h" 1
1 1 3 "experimental" 83 "h" "h.bmp" "u" "u.bmp" "STANDING" 4 612 "h" "h" 1
1 1 3 "experimental" 84 "s" "s.bmp" "u" "u.bmp" "STANDING" 4 632 "s" "s" 1
1 1 3 "experimental" 85 "h" "h.bmp" "u" "u.bmp" "STANDING" 8 476 "h" "h" 1
1 1 3 "experimental" 86 "s" "s.bmp" "e" "e.bmp" "STANDING" 4 569 "s" "s" 1
1 1 3 "experimental" 87 "h" "h.bmp" "e" "e.bmp" "STANDING" 4 452 "h" "h" 1
1 1 3 "experimental" 88 "s" "s.bmp" "e" "e.bmp" "STANDING" 8 484 "s" "s" 1
1 1 3 "experimental" 89 "h" "h.bmp" "u" "u.bmp" "STANDING" 8 467 "h" "h" 1
1 1 3 "experimental" 90 "h" "h.bmp" "e" "e.bmp" "STANDING" 4 671 "h" "h" 1
1 1 3 "experimental" 91 "s" "s.bmp" "e" "e.bmp" "STANDING" 8 616 "s" "s" 1
1 1 3 "experimental" 92 "s" "s.bmp" "u" "u.bmp" "STANDING" 8 594 "s" "s" 1
1 1 3 "experimental" 93 "s" "s.bmp" "e" "e.bmp" "STANDING" 4 617 "s" "s" 1
1 1 3 "experimental" 94 "h" "h.bmp" "u" "u.bmp" "STANDING" 4 470 "h" "h" 1
1 1 3 "experimental" 95 "s" "s.bmp" "u" "u.bmp" "STANDING" 4 512 "s" "s" 1
1 1 3 "experimental" 96 "h" "h.bmp" "e" "e.bmp" "STANDING" 8 533 "h" "h" 1
1 1 3 "experimental" 97 "s" "s.bmp" "e" "e.bmp" "STANDING" 8 504 "s" "s" 1
1 1 3 "experimental" 98 "h" "h.bmp" "e" "e.bmp" "STANDING" 4 557 "h" "h" 1
1 1 3 "experimental" 99 "h" "h.bmp" "u" "u.bmp" "STANDING" 4 519 "h" "h" 1
1 1 3 "experimental" 100 "h" "h.bmp" "e" "e.bmp" "STANDING" 8 715 "h" "h" 1
1 1 3 "experimental" 101 "s" "s.bmp" "u" "u.bmp" "STANDING" 8 559 "s" "s" 1
1 1 3 "experimental" 102 "h" "h.bmp" "u" "u.bmp" "STANDING" 8 591 "h" "h" 1
1 1 3 "experimental" 103 "s" "s.bmp" "e" "e.bmp" "STANDING" 4 487 "s" "s" 1
1 1 3 "experimental" 104 "s" "s.bmp" "u" "u.bmp" "STANDING" 4 693 "s" "s" 1
1 1 3 "experimental" 105 "s" "s.bmp" "e" "e.bmp" "STANDING" 8 571 "s" "s" 1
1 1 3 "experimental" 106 "s" "s.bmp" "u" "u.bmp" "STANDING" 4 629 "s" "s" 1
1 1 3 "experimental" 107 "s" "s.bmp" "u" "u.bmp" "STANDING" 8 538 "s" "s" 1
1 1 3 "experimental" 108 "h" "h.bmp" "e" "e.bmp" "STANDING" 8 711 "h" "h" 1
1 1 3 "experimental" 109 "h" "h.bmp" "e" "e.bmp" "STANDING" 4 783 "h" "h" 1
1 1 3 "experimental" 110 "h" "h.bmp" "u" "u.bmp" "STANDING" 4 539 "h" "h" 1
1 1 3 "experimental" 111 "s" "s.bmp" "e" "e.bmp" "STANDING" 4 673 "s" "s" 1
1 1 3 "experimental" 112 "h" "h.bmp" "u" "u.bmp" "STANDING" 8 637 "h" "h" 1
1 1 3 "experimental" 113 "s" "s.bmp" "e" "e.bmp" "STANDING" 4 537 "s" "s" 1
1 1 3 "experimental" 114 "h" "h.bmp" "e" "e.bmp" "STANDING" 8 600 "h" "h" 1
1 1 3 "experimental" 115 "h" "h.bmp" "u" "u.bmp" "STANDING" 4 560 "h" "h" 1
1 1 3 "experimental" 116 "h" "h.bmp" "e" "e.bmp" "STANDING" 4 562 "h" "h" 1
1 1 3 "experimental" 117 "h" "h.bmp" "u" "u.bmp" "STANDING" 8 477 "h" "h" 1
1 1 3 "experimental" 118 "s" "s.bmp" "u" "u.bmp" "STANDING" 8 726 "s" "s" 1
1 1 3 "experimental" 119 "s" "s.bmp" "u" "u.bmp" "STANDING" 4 1113 "s" "s" 1
1 1 3 "experimental" 120 "s" "s.bmp" "e" "e.bmp" "STANDING" 8 581 "s" "s" 1
1 1 3 "experimental" 121 "h" "h.bmp" "u" "u.bmp" "STANDING" 8 823 "h" "h" 1
1 1 3 "experimental" 122 "s" "s.bmp" "e" "e.bmp" "STANDING" 8 748 "s" "s" 1
